question_id,year,question_number,source_pdf_page,issue_flags,current_verification_status,source_pdf_url,review_action
aemet-a1-acceso-libre-primer-ejercicio-2014-11,2014,11,3,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-15,2014,15,4,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-18,2014,18,5,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-20,2014,20,5,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-25,2014,25,6,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-30,2014,30,7,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-36,2014,36,8,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-42,2014,42,9,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-48,2014,48,10,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-53,2014,53,11,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-59,2014,59,12,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-6,2014,6,2,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-64,2014,64,13,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-70,2014,70,14,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-76,2014,76,15,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-82,2014,82,16,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-88,2014,88,17,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-93,2014,93,18,suspected_ocr_word_corruption,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
aemet-a1-acceso-libre-primer-ejercicio-2014-94,2014,94,18,pdf_page_header_or_footer_embedded,verified,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,Open the source PDF at the listed page and compare statement plus all four options before updating the bank.
