year,exam,question_number,statement,option_a,option_b,option_c,option_d,correct_option,answer_key_status,question_source_url,answer_key_source_url,question_extraction_status,exclusion_reason
2014,AEMET A1 Acceso Libre — Primer ejercicio,57,ANULADA,,,,,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted,official_annulled
2014,AEMET A1 Acceso Libre — Primer ejercicio,95,"Los contratos menores definidos en el artículo 138.3 del Real Decreto Legislativo 3/2011, de 14 de noviembre, por el que se aprueba la Ley de Contratos del Sector Público:",podrán ser objeto de prórroga cuando la duración del contrato sea superior a un año,podrán ser objeto de prórroga pero la duración del contrato debe ser inferior al año,no podrán tener una duración superior a un año ni ser objeto de prórroga,la ley no especifica ninguna limitación a su plazo de vigencia,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted,stale_or_outside_current_program:Real Decreto Legislativo 3\/2011
2015,AEMET A1 Acceso Libre — Primer ejercicio,2,No es causa de nulidad de pleno Derecho según el artículo 62 de la Ley 30/1992 de 26 de noviembre de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común:,Los actos que tengan un contenido imposible.,Los actos que sean constitutivos de una infracción penal o se dicten como consecuencia de ésta.,Los actos dictados por órgano manifiestamente incompetente por razón de la materia o jerarquía.,Cualquier otro acto que se establezca expresamente en una disposición de rango legal.,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,stale_or_outside_current_program:Ley 30\/1992
2015,AEMET A1 Acceso Libre — Primer ejercicio,23,El vector Q de Hoskins combina los dos términos forzantes de la ecuación omega de manera que:,Q representa las variaciones espaciales del campo de temperatura debidas a variaciones en el viento geostrófico.,"Q describe el flujo de calor diatérmico por unidad de masa debido a radiación, conducción y liberación de calor latente.",Q representa el cambio del gradiente horizontal de temperatura forzado por el movimiento geostrófico.,Q describe el forzamiento cuasigeostrófico del movimiento vertical.,ANULADA,official_annulled,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,official_annulled
2015,AEMET A1 Acceso Libre — Primer ejercicio,45,Según el artículo 83 de la Ley 30/1992 de 26 de noviembre de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común:,"Salvo disposición expresa en contrario, los informes serán no facultativos pero sí vinculantes.","Salvo disposición expresa en contrario, los informes serán facultativos y no vinculantes.","Salvo disposición expresa en contrario, los informes serán facultativos y vinculantes.","Salvo disposición expresa en contrario, los informes no serán facultativos ni vinculantes",B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,stale_or_outside_current_program:Ley 30\/1992
2015,AEMET A1 Acceso Libre — Primer ejercicio,50,De acuerdo con el artículo 109 de la Ley 30/1992 de 26 de noviembre de Régimen Jurídico de las Administraciones Públicas y del Procedimiento Administrativo Común NO ponen fin a la vía administrativa:,las resoluciones de los recursos de alzada.,"los acuerdos, pactos, convenios o contratos que no tengan la consideración de finalizadores del procedimiento.","las resoluciones de los órganos administrativos que carezcan de superior jerárquico, salvo que una Ley establezca lo contrario.","las demás resoluciones de órganos administrativos cuando una disposición legal o reglamentaria así lo establezca. __________________________________________________________________________________________ 14 Tribunal Calificador de las Pruebas Selectivas para el acceso al Cuerpo Superior de Meteorólogos del Estado, por el sistema general de acceso libre (Orden AAA/1378/2015 de 26 de junio; BOE 164, de 10 de julio de 2015) ______________________________________________________________________ PRIMER EJERCICIO (las respuestas ha de marcarlas en la Hoja de Examen) ___________________________________________________________________________________________",B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,stale_or_outside_current_program:Ley 30\/1992
2015,AEMET A1 Acceso Libre — Primer ejercicio,55,Señale la afirmación FALSA:,La temperatura equivalente es la máxima temperatura que una parcela de aire húmedo puede alcanzar por condensación.,La temperatura del termómetro húmedo es la temperatura mínima que una parcela de aire húmedo puede alcanzar por evaporación.,La temperatura del termómetro húmedo es invariante en las evaporaciones y condensaciones isentálpicas.,"Si dos masas de aire tienen la misma temperatura equivalente y una de ellas está saturada, su temperatura será la temperatura del termómetro húmedo de la otra.",ANULADA,official_annulled,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,official_annulled
2015,AEMET A1 Acceso Libre — Primer ejercicio,86,"Según el estándar SQL, una transacción es una secuencia de operaciones que:",se inicia con una secuencia BEGIN TRANSACTION y termina con una sentencia END TRANSACTION.,"si se termina con una sentencia ROLLBACK, todos los cambios realizados desde el inicio de la sesión son cancelados.",se inicia con la llamada a un procedimiento y se finaliza con una sentencia COMMIT o ROLLBACK.,"si no finaliza con una sentencia COMMIT, el sistema debe devolver un mensaje de error.",ANULADA,official_annulled,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2015.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/plantilla_ejercicio1_meteorologos_libre_tcm30-94710.pdf,text_extracted,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,11,"Dadas dos variables aleatorias X e Y, independientes e idénticamente distribuidas, para (X-Y) siempre se cumple que:",tiene coeficiente de asimetria 0.,tiene coeficiente de curtosis 0.,tiene desviacién estandar O.,var (X-¥) = 2 var(X).,ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
2016,AEMET A1 Acceso Libre — Primer ejercicio,13,"Dadas tres variables aleatorias X, Y, Z, idénticamente distribuidas con funcidn de distribucion F(x) e independientes entre si, la funcién de densidad del maximo de (X, Y, Z) vale:",F?(x),2 F*(x) dF(x)/dx,1-2 F*(x),"(dF(x)/dx)? Pregunita n2 14: Suponga que realiza 1000 aplicaciones de un test estadistico cumpliéndose en todas la hipétesis nula, trabajando al nivel de significacidn 0.05. Entonces, se puede afirmar que:",ANULADA,official_annulled,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/cuestionario_tcm30-96165.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/empleo-publico/personal-funcionario/resolucion__correccionplantilladefc_sup_meteorologos_libre_sf-fp_tcm30-96168.pdf,ocr_needs_visual_review,official_annulled
