year,exam,question_number,statement,option_a,option_b,option_c,option_d,correct_option,answer_key_status,question_source_url,answer_key_source_url,question_extraction_status
2014,AEMET A1 Acceso Libre — Primer ejercicio,1,"El rotacional de un campo vectorial plano tal que en el punto de coordenadas polares (r, θ), r > 0, el vector del campo tiene módulo 1 y está dirigido según la perpendicular al radio en sentido contrario a las agujas del reloj vale:",1/r,-1/ r2,0,r,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,2,El flujo correspondiente al potencial complejo Ω (z) = i ln z es de tipo:,uniforme,con una fuente,con un sumidero,con circulación,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,3,"Suponga que un conjunto de variables aleatorias tiene matriz de covarianzas diagonal, con ningún valor nulo en la diagonal. Indique la respuesta verdadera:",La primera componente principal es la variable con más varianza,La primera componente principal es la variable con menos varianza,La última componente principal es nula,La correlación entre la primera y la segunda componente principal es distinta de cero,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,4,"Suponga que tiene dos datos a y b, 0 < a < b, para los que se postula que proceden de una población con función de densidad que es uniforme entre 0 y θ y con valor cero en el resto, U [0, θ]. ¿Cuál es el estimador de máxima verosimilitud de θ?",1,(a+b)2,(a+b)/2,b,D,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,5,"Sean X, Y y Z tres variables aleatorias incorrelacionadas de varianza unidad. Se definen los dos conjuntos de variables aleatorias A = {X, Y}, B = {Y + Z}. La primera correlación canónica entre los conjuntos A y B vale:",0,(1/2)0.5,1/3,1,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,6,"Sean X e Y dos variables aleatorias con funciones de densidad que son uniformes entre 0 y 1 y con valores cero en el resto, U [0,1], independientes entre sí. La probabilidad P (X + Y ≤ 3/2) vale:",1,7/8,3/8,1/2 Proceso selectivo para ingreso por el sistema general de acceso libre en el Cuerpo Superior de Meteorólogos del Estado Orden AAA/1183/2014 de 26 de junio (BOE nº 166 de 9 de julio de 2014) Primer ejercicio Página 3 de 19,B,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,7,"Un conjunto de N datos, xi, i = 1, ..., N, tiene distribución simétrica bimodal y su N varianza es 100. Además se sabe que ∑ xi − a es mínima cuando a=20. El coeficiente de i =1 variación de Pearson de estos datos vale:",1,2,0.5,0.1,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,8,"Una variable aleatoria tiene distribución normal N(20, 4). Si se eligen de forma independiente tres valores de esa variable, la probabilidad de que los tres sean mayores que 20 es:",0.5,0.25,0.125,0.375,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,9,"En un experimento aleatorio, los sucesos A y B verifican P(A) = 0.4, P(B) = 0.6, P(B/A) = 0.5. Entonces:",A y B son independientes,A y B son incompatibles,P(A/B) =1/3,P(A U B) =0.5,C,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
2014,AEMET A1 Acceso Libre — Primer ejercicio,10,"Dados dos conjuntos de datos X e Y, se sabe que su coeficiente de correlación lineal es ρ = - 0.7, que la media de X es 0, que el valor absoluto de la pendiente de la recta de regresión de Y sobre X es 1/3 y que esa recta pasa por el punto (1, 2/3). Entonces, la media de Y vale:",1,1/3,-2/3,0,A,official,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf,https://www.miteco.gob.es/content/dam/miteco/es/ministerio/servicios/empleo-publico/plantilla%20respuestas_tcm30-92321.pdf,text_extracted
