stable_id,existing_row,source_question,final_answer,disposition,review_status,intended_mutation,source_url
aemet-a1-acceso-libre-primer-ejercicio-2014-1,verified:A:legacy,2014-1,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-2,verified:D:legacy,2014-2,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-3,verified:A:legacy,2014-3,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-4,verified:D:legacy,2014-4,D,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-5,verified:B:legacy,2014-5,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-6,needs_review:B:legacy,2014-6,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-7,verified:C:legacy,2014-7,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-8,verified:C:legacy,2014-8,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-9,verified:C:legacy,2014-9,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-10,verified:A:legacy,2014-10,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-11,needs_review:A:legacy,2014-11,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-12,verified:A:legacy,2014-12,A,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-13,verified:B:legacy,2014-13,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-14,verified:C:legacy,2014-14,C,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
aemet-a1-acceso-libre-primer-ejercicio-2014-15,needs_review:B:legacy,2014-15,B,quarantined,needs_visual_review,quarantine_existing_stable_id,https://www.aemet.es/documentos/es/empleo_y_becas/empleo_publico/oposiciones/grupo_a1/otras_convocatorias/ex_met_lib_2014.pdf
